CCE
  samp VolOil  Tres 120.0 degC  sliq DEW
PLOT           Yes  
      PRES     RELV
      bara     dim    
      452.8    0.9700
      427.3    0.9739
      402.3    0.9788
      377.0    0.9843
      351.7    0.9904
      326.4    0.9963
PSAT  313.0    1.0000
      301.6    1.0100
      291.4    1.0206
      276.5    1.0377
      251.2    1.0729
      225.9    1.1189
      200.9    1.1792
      176.3    1.2618
      150.9    1.3776
      125.6    1.5543
      100.3    1.8307
       81.2    2.1685
