CCE
  samp  OIL  Tres  285.00  degF  Sliq  DEW
PLOT                      Yes       Yes 
                PRES      RELV      DENO
                psig      dim       gm/cm3
             7500.00    0.9570    0.6951
             7000.00    0.9626    0.6911
             6500.00    0.9685    0.6868
             6000.00    0.9749    0.6823
             5723.00    0.9787    0.6797
             5500.00    0.9819    0.6775
             5000.00    0.9895    0.6723
             4800.00    0.9927    0.6701
             4700.00    0.9943    0.6690
             4600.00    0.9960    0.6679
             4500.00    0.9977    0.6667
             4400.00    0.9995    0.6655
PSAT         4371.00    1.0000    0.6652
             4362.00    1.0006    0.0000
             4343.00    1.0018    0.0000
             4326.00    1.0029    0.0000
             4318.00    1.0034    0.0000
             4312.00    1.0038    0.0000
             4260.00    1.0073    0.0000
             4161.00    1.0142    0.0000
             3995.00    1.0270    0.0000
             3711.00    1.0525    0.0000
             3271.00    1.1043    0.0000
             2684.00    1.2089    0.0000
             2023.00    1.4202    0.0000
             1573.00    1.6858    0.0000
             1195.00    2.0836    0.0000
              865.00    2.7381    0.0000
