DLE
  samp  OIL  Tres  285.00  degF
PLOT                      Yes       Yes       Yes       Yes       Yes 
                PRES      BO        GOR       DENO      ZFAC      GGRV
                psig      rb/stb      scf/stb      gm/cm3      dim       dim 
PSAT         4371.00    1.6210 1012.0000    0.6652    0.0000    0.0000
             3700.00    1.5410  839.0000    0.6817    0.9400    0.7460
             2700.00    1.4320  598.0000    0.7066    0.9240    0.7320
             1700.00    1.3370  394.0000    0.7319    0.9300    0.7450
             1000.00    1.2760  262.0000    0.7496    0.9520    0.7730
              500.00    1.2290  168.0000    0.7644    0.9720    0.8450
              200.00    1.1920  102.0000    0.7754    0.9870    1.0210
                0.00    1.1140    0.0000    0.7864    0.0000    2.1680
