DLE
  samp  OIL  Tres  285.00  degF
PLOT                      Yes 
                PRES      VISO
                psig      cP  
             7500.00    0.4980
             7000.00    0.4810
             6500.00    0.4640
             6000.00    0.4480
             5723.00    0.4390
             5500.00    0.4320
             5000.00    0.4180
             4800.00    0.4120
             4700.00    0.4090
             4600.00    0.4070
             4500.00    0.4040
             4400.00    0.4020
PSAT         4371.00    0.4010
             3700.00    0.4610
             2700.00    0.5660
             1700.00    0.7000
             1000.00    0.8240
              500.00    0.9470
              200.00    1.0580
                0.00    1.2570
