GRAD
Samp  GasCon  Tres 239.0 degF
PLOT          Yes     Yes
      HEIG    PRES    PSAT
      ft      psia    psia
      7000.0  5060.0  4250.0
      7100.0  5072.0     0.0
      7200.0  5084.0  4350.0
      7300.0  5096.0     0.0
      7400.0  5108.0     0.0
DREF  7500.0  5120.0  4554.0
      7600.0  5132.0     0.0
      7700.0  5144.0     0.0
      7800.0  5156.0  4700.0
      7900.0  5168.0     0.0
      8000.0  5180.0  4850.0
      8100.0  5192.0     0.0
      8200.0  5204.0  5030.0
      8300.0  5216.0     0.0
      8400.0  5228.0     0.0
      8450.0  5236.0     0.0
      8500.0  5240.0  4870.0
      8600.0  5252.0     0.0
      8700.0  5264.0     0.0
